ball-in-bowl
frequency,haptic_forces,trial
2,0.0,1
2,0.0,2
2,0.0,3
2,1.0,4
2,1.0,5
2,1.0,6
3,1.0,7
3,1.0,8
3,1.0,9
3,0.0,10
3,0.0,11
3,0.0,12
1,2.0,13
1,2.0,14
1,2.0,15
1,0.0,16
1,0.0,17
1,0.0,18
0,2.0,19
0,2.0,20
0,2.0,21
0,1.0,22
0,1.0,23
0,1.0,24
stationary ball,,25
stationary ball,,26
stationary ball,,27
Mandatory 5min break
1,1.0,28
1,1.0,29
1,1.0,30
1,2.0,31
1,2.0,32
1,2.0,33
0,0.0,34
0,0.0,35
0,0.0,36
0,2.0,37
0,2.0,38
0,2.0,39
2,2.0,40
2,2.0,41
2,2.0,42
2,0.0,43
2,0.0,44
2,0.0,45
3,2.0,46
3,2.0,47
3,2.0,48
3,1.0,49
3,1.0,50
3,1.0,51
stationary ball,,52
stationary ball,,53
stationary ball,,54
Mandatory 5min break
0,1.0,55
0,1.0,56
0,1.0,57
0,0.0,58
0,0.0,59
0,0.0,60
1,0.0,61
1,0.0,62
1,0.0,63
1,1.0,64
1,1.0,65
1,1.0,66
3,0.0,67
3,0.0,68
3,0.0,69
3,2.0,70
3,2.0,71
3,2.0,72
2,1.0,73
2,1.0,74
2,1.0,75
2,2.0,76
2,2.0,77
2,2.0,78
Mandatory 5min break
nail-and-hammer
left-v-right,trial
0,1
0,2
0,3
1,4
1,5
1,6
1,7
1,8
1,9
0,10
0,11
0,12
